Variável Determinante,Filme Exemplo,Custo Min (US$),Custo Máx (US$),Receita Máx (US$),Lucro Médio (US$),ROI
Efeitos Visuais (VFX),Avatar: O Caminho da Água (2022),350M,460M,2.32B,1.92B,449%
Efeitos Visuais (VFX),Avengers: Endgame (2019),356M,450M,2.8B,2.4B,574%
Efeitos Visuais (VFX),Jurassic World (2015),150M,200M,1.67B,1.485B,890%
Efeitos Visuais (VFX),Star Wars: The Force Awakens (2015),245M,300M,2.07B,1.812B,640%
Efeitos Visuais (VFX),The Lion King (2019),250M,260M,1.66B,1.4B,460%
Efeitos Visuais (VFX),Avengers: Infinity War (2018),325M,400M,2.05B,1.7B,423%
Efeitos Visuais (VFX),Spider-Man: No Way Home (2021),200M,250M,1.92B,1.7B,750%
Efeitos Visuais (VFX),The Avengers (2012),220M,230M,1.52B,1.295B,489%
Efeitos Visuais (VFX),Avatar (2009),237M,280M,2.92B,2.67B,1026%
Efeitos Visuais (VFX),Pirates of the Caribbean: On Stranger Tides (2011),250M,270M,1.05B,787M,215%
Efeitos Visuais (VFX),Transformers: Age of Extinction (2014),210M,240M,1.1B,875M,317%
Som Imersivo (IMAX/Dolby),Duna (2021),150M,165M,410.7M,245.7M,64%
Som Imersivo (IMAX/Dolby),Interstellar (2014),165M,180M,715M,545M,230%
Som Imersivo (IMAX/Dolby),Mad Max: Fury Road (2015),150M,160M,380M,225M,50%
Som Imersivo (IMAX/Dolby),Blade Runner 2049 (2017),150M,170M,265M,105M,-30%
Som Imersivo (IMAX/Dolby),Inception (2010),160M,170M,840M,675M,322%
Som Imersivo (IMAX/Dolby),The Dark Knight Rises (2012),230M,240M,1.08B,845M,267%
Som Imersivo (IMAX/Dolby),Gravity (2013),100M,110M,723.2M,613.2M,513%
Som Imersivo (IMAX/Dolby),Dunkirk (2017),100M,110M,530M,425M,325%
Som Imersivo (IMAX/Dolby),The Revenant (2015),135M,150M,535M,395M,193%
Som Imersivo (IMAX/Dolby),1917 (2019),90M,100M,390M,295M,228%
Som Imersivo (IMAX/Dolby),Tenet (2020),200M,210M,365M,160M,-20%
Direção de Arte/Fotografia,O Rei Leão (2019),250M,260M,1.66B,1.4B,460%
Direção de Arte/Fotografia,The Grand Budapest Hotel (2014),25M,35M,180M,150M,500%
Direção de Arte/Fotografia,Mad Max: Fury Road (2015),150M,160M,380M,225M,50%
Direção de Arte/Fotografia,Blade Runner 2049 (2017),150M,170M,265M,105M,-30%
Direção de Arte/Fotografia,The Shape of Water (2017),19M,22M,200M,180M,847%
Direção de Arte/Fotografia,Alice in Wonderland (2010),200M,220M,1.02B,810M,305%
Direção de Arte/Fotografia,The Great Gatsby (2013),105M,115M,355M,245M,133%
Direção de Arte/Fotografia,Pan's Labyrinth (2006),19M,22M,85M,65M,242%
Direção de Arte/Fotografia,The Curious Case of Benjamin Button (2008),150M,170M,340M,180M,20%
Direção de Arte/Fotografia,Hugo (2011),150M,170M,190M,30M,-80%
Direção de Arte/Fotografia,The Fall (2006),30M,40M,4M,-31.5M,-205%
Edição Rítmica,Velozes & Furiosos 7 (2015),190M,190M,1.52B,1.33B,600%
Edição Rítmica,Mad Max: Fury Road (2015),150M,160M,380M,225M,50%
Edição Rítmica,Baby Driver (2017),34M,36M,230M,195M,474%
Edição Rítmica,The Bourne Ultimatum (2007),110M,120M,445M,330M,200%
Edição Rítmica,Whiplash (2014),3M,4M,52M,48.5M,1517%
Edição Rítmica,The Social Network (2010),40M,45M,230M,188M,370%
Edição Rítmica,Inception (2010),160M,170M,840M,675M,322%
Edição Rítmica,The Dark Knight (2008),185M,195M,1.01B,820M,343%
Edição Rítmica,Dunkirk (2017),100M,110M,530M,425M,325%
Edição Rítmica,The Matrix (1999),63M,70M,470M,405M,543%
Edição Rítmica,La La Land (2016),30M,35M,445M,413M,1277%
3D / 60K Tecnologia,Avatar (2009),237M,280M,2.92B,2.67B,1026%
3D / 60K Tecnologia,Gravidade (2013),100M,110M,723.2M,613.2M,513%
3D / 60K Tecnologia,The Jungle Book (2016),175M,185M,970M,790M,351%
3D / 60K Tecnologia,Life of Pi (2012),120M,130M,605M,480M,300%
3D / 60K Tecnologia,Doctor Strange (2016),165M,175M,680M,510M,209%
3D / 60K Tecnologia,How to Train Your Dragon 2 (2014),145M,155M,625M,475M,228%
3D / 60K Tecnologia,Ready Player One (2018),175M,185M,585M,405M,131%
3D / 60K Tecnologia,Tron: Legacy (2010),170M,180M,405M,230M,35%
3D / 60K Tecnologia,Alita: Battle Angel (2019),170M,180M,405M,230M,35%
3D / 60K Tecnologia,The Adventures of Tintin (2011),135M,150M,375M,235M,74%
3D / 60K Tecnologia,Hugo (2011),150M,170M,190M,30M,-80%
Roteiros e Atores,Avengers: Endgame (2019),$200M,$356M,$2.798B,$1.8B+,500%+
Roteiros e Atores,Parasite (2019),$2M,$11M,$258M,$247M,2%
Roteiros e Atores,The Social Network (2010),$20M,$40M,$225M,$185M,460%
Roteiros e Atores,Justice League (2017),$100M,$300M,$657M,Prejuízo ($60M),-20%
Roteiros e Atores,Inception (2010),$50M,$160M,$836M,$676M,422%
Roteiros e Atores,The Irishman (2019),$160M,$200M,$8M (Netflix)*,-$192M,-96%
Roteiros e Atores,Little Women (2019),$10M,$40M,$218M,$178M,445%
Roteiros e Atores,Lady Bird (2017),$3M,$10M,$79M,$69M,690%
Roteiros e Atores,Crazy Rich Asians (2018),$5M,$30M,$238M,$208M,693%
Roteiros e Atores,Pulp Fiction (1994),$10M,$8M,$214M,$206M,2.58%
